codigo_produto,produto,secao,custo_atual,preco_atual,ncm
4557,JOGO DE CAMA PALLAVERI QUEEN TRUSSARDI,JOGO DE CAMA,679.21,1556.00,63022100
6246,KIT 3PÇS 2 BODY E 1 CALÇA HAVE FUN,CONFECCOES,33.80,75.00,61112000
5220,"CALÇA JEANS BEBE FEM/MASC  P,M,G,GG LOOK JEANS",CONFECCOES,35.44,81.00,62092000
5614,SUSPENSORIO ELASTICO POLO INFANTI,CONFECCOES,10.49,24.00,62129000
5724,CALÇA SARJA P AO G POLO INFANTI,CONFECCOES,35.46,81.00,61034200
5612,CJ 4 PC DE AÇO INOX P/VINHO C/ CAIXA WOLFF,DIVERSOS,31.71,169.00,82055100
4914,TENIS VELCRO SINTETICO COM TECIDO MASC TURMA DO PEZINHO,CONFECCOES,35.10,68.00,64059000
6214,JODO DE BERÇO 03 PÇS 180 FIOS ARTEX,JOGO DE BERÇO,39.75,96.00,94049000
2382,COBRE LEITO QUEEN 03 PÇS 200 F.BORD.CLASSIC MARKEN FASSI,COBRE LEITO,547.23,1062.00,63023100
513,SAIA BABADO CASAL 1.38/1.88 PREMIER VERONA GORG.ALTENBURG,SAIA PARA COLCHAO,45.11,105.00,63022100
4469,PERFUME JEAN PAUL LA BELLE FEM 100ML,PERFUME FEMININO,469.45,939.00,33030020
5699,"CORTINA ECCO LINE 5,60/2.80 VARAO DE 4 MTS TAPECOL",CORTINA,271.13,555.00,63039900
6056,EDREDON KING LAZIO 300 FIOS CASA K  KACYUMARA,EDREDON,358.41,827.00,94049000
6244,KIT MATERNIDADE FEM/MASC HAVE FUN,CONFECCOES,68.04,150.00,61112000
5836,CAPA PARA TRAVESSEIRO TECIDO BOR. INGLES VEET BABY MAINART,FRONHA,17.90,39.00,63041990
1984,EDREDON KING SIZE MALHA SONHART,EDREDON,470.68,1337.00,94049000
4412,MANTA P/ESTOFADO 1.70/1.40 DUPLA FACE ADOMES,MANTA,13.52,72.00,63041100
3555,CESTO FLOW 27X12X13 OU,DIVERSOS,9.19,24.00,39249000
4159,CORTINA PRATIKA SPECIALE 2.50/3.00 SORTIMENTO BELLA JANELLA,CORTINA,0.00,59.90,63039200
1404,TOALHA ROSTO 0.48/0.90 DUAL BUDDEMEYER,TOALHAS AVULSA,18.57,36.00,63026000
4344,TOALHA BANHO INFANTIL 0.70/1.40 VELOUR LICENCIADOS DOHLER,TOALHAS AVULSA,14.75,31.50,63026000
701,TOALHA ROSTO DORA 0.48/0.70 FIO DUPLA TORÇAO KARSTEN,TOALHAS AVULSA,8.27,21.00,63026000
6247,CONJ.BOBY E CALÇA ESTAMPADO SORTIDAS HAVE FUN,CONFECCOES,16.04,36.00,61112000
5801,PERFUME OLYMPEA INTENSE 80 ML PACO RABANNE,PERFUME FEMININO,277.64,589.00,33030020
4716,"CONJUNTO FEMININO BEBE SHORT JEANS/TECIDO PULLA BULLA P,M G",CONFECCOES,28.94,63.00,61112000
5516,LEGGING FEMENINA PULLA BULLA,CONFECCOES,13.14,30.00,61112000
5997,CONJ.BLUSA M/L MALHA /LEGGING 2 A 8 ANOS BRANDILI,CONFECCOES,27.66,57.00,61042200
5330,TAPETE ANDREZA PERSA DIVERSOS 1.50/2.00,TAPETE,201.85,492.00,57050000
3292,CORTINA RUSTICA PANTEX 6.60/2.50 BELLA JANELA,CORTINA,113.53,279.00,63039200
1146,COBRE LEITO CASAL 03 PCS DENIN WASHED ROZAC,COBRE LEITO,77.08,177.00,94049000
5730,PESEIRA  SORELLA TRUSSARDI,MANTA,353.69,779.00,63049200
2655,ESCOVA PARA LIMPEZA DE SILICONE BASIC LYOR,DIVERSOS,02.06,6.00,96039000
5561,CONJ MASC.MACHAO MM BERMUDA SARJA HAVE FUN,CONFECCOES,44.70,90.00,61032200
6243,TAPETE PLUSH VERSATILE 0.52/1.20  HEDRONS,TAPETE,20.28,63.00,57039000
3405,TAPETE SAO CARLOS JOY /GUARUJA1.50/2.00,TAPETE,361.10,597.00,57033000
3666,BOWL DE VIDRO 130 ML LYOR,CONFECCOES,1.17,2.90,70134900
5998,TAPETE RETALHO MAIOR PROMOCIONAL,CONFECCOES,0.00,9.90,61112000
462,JOGO DE CAMA SOLTEIRO 03 PCS TEKA FLORENCA 100%ALG,JOGO DE CAMA,41.34,96.00,63022100
5599,SAIA BABADO KING 1.93X2.03+33CM ARTE & CAZZA,SAIA PARA COLCHAO,24.00,72.00,63023900
3347,TAPETE CAPACHO EMBORRACHADO FLOCADOS 0.45/0.61 JOLITEX,TAPETE,22.17,43.50,57024200
2409,TOALHA MESA 1.80 REDONDA NATALINA GLITER A.S TEXTIL,TOALHA DE MESA,20.40,36.00,\N
5058,TAPETE ALGODAO INFANTIL ESTAMPADO DOTS 0.50/0.70 LEPPER,TAPETE,20.44,45.00,57032000
2365,TECIDO PARA TOALHA DE MESA BELFORT SANTORINI KARSTEN,TOALHA DE MESA,10.32,19.50,93026000
4997,CAPA ALMOFADA 0.45/0.45 VELUDO AMASSADO REF 859 ADOMES,CORTINA,8.90,18.00,63041990
1858,CAPA PARA COLCHAO QUEEN MALHA VENESA 30 ALT.,CAPAS,67.89,129.00,63021000
6245,KIT CUECA BOX COTTON ELASTICO HAVE FUN,CONFECCOES,20.42,48.00,61071100
3587,TAPETE FIO DE SEDA 2.00/3.00 PREMIUM J.SERRANO/ PINHEIRO,TAPETE,627.04,869.00,57024200
6150,PROTETOR COLCHAO SOLTEIRO KNG IONS DE PRATA 47 CM ALTENBURG,PROTETOR DE COLCHAO,97.19,225.00,94049000
4333,TAPETE LUNA 1.50/2.00 FIBRA LONGA BUCHARA,TAPETE,240.55,738.00,57033000
5740,JOGO DE BERCO 03 PCS 100 % ALGODAO SANTISTA BABY COTEMINAS,JOGO DE CAMA,22.34,51.00,63022100
2829,TOALHA MESA 1.60/1.60 JACQUARD LISO LUMINA II DOHLER,TOALHA DE MESA,21.18,48.00,63025100
4648,BODY MANGA LONG/ MANGA CURTA BASIC FEM/MASC HAVE FUN,CONFECCOES,8.15,18.00,61112000
4451,MEIA SAPATILHA INFANTIL N 25 A 28 REF. 2310 SELENE,MEIA BEBE,04.06,9.00,61159500
4223,PEL CACHO/GIRAFA/URSO/DINOSS/LEAO/MACACO DD-GD0998 FOFFY,PELUCIA,34.68,99.00,95030031
260,TOALHA MESA 1.55/3.00 RENDA LEPPER,TOALHA DE MESA,25.17,63.00,63025300
4226,CENTOPEIA P MULTCOR  LISTRADA GTA8017B FOFFY,PELUCIA,19.04,45.00,95030031
1635,MANTA BEBE LE TRICOT 100%ACRILICO COLIBRI,MANTA PARA BEBE,36.04,81.00,63014000
5678,SUTIA AMAMENTAÇAO C/BOJO LOVESECRET,CONFECCOES,32.43,78.00,62121000
4620,CORTINA DUPLEX CHIFFON 5.40/2.50  BELLA JANELA,CORTINA,76.48,539.00,63039200
5334,MANTA BEBE FLEECE 0.82/0.82  DUPLA FLACE LEPPER,MANTA PARA BEBE,30.92,72.00,63014000
5958,COBRE LEITO KING PROMOCIONAL INNOVI KACYUMARA,COBRE LEITO,184.50,369.00,63041910
4764,PERFUME PRADA LUNA BLACK POUR HOMME 100 ML,PERFUME MASCULINO,277.64,599.00,33030020
5071,JOGO DE CAMA KING 04 PCS DIAMANTE TEKA,JOGO DE CAMA,55.63,248.00,63022100
1994,JOGO DE CAMA KING 04 PÇS 200 FIOS VIDA E COR  ALTENBURG,JOGO DE CAMA,153.07,354.00,63022100
5061,JOGO DE CAMA KING  04 PCS 180 FIOS TOTAL MIX ARTEX,JOGO DE CAMA,0.00,198.00,63023100
6252,TOALHA DE MESA 1.60/3.10 RUSTICO ARGIVAI,TOALHA DE MESA,32.43,468.00,63025300
5850,KIT PERFUME CH GOOD GIRL 80ML  + BL 100MLCAROLINA HERRERA,PERFUME FEMININO,252.45,559.00,33030020
2661,BANCO DOBRAVEL DE PLASTICO 39 CM LYOR,DIVERSOS,43.98,99.00,94018000
3496,TOALHA MESA 1.60/1.60 LIMPA FACIL CLEAN ATHENAS DOHLER,TOALHA DE MESA,15.72,36.00,63025100
3264,"SAIA BOX KING SIZE 1,93/2,03 BABADO COM TAMPAO  SAVOIA SEJOS",SAIA PARA COLCHAO,38.39,105.00,63023900
2193,MANTA QUEEN SOFT POLAR  CORTTEX FATEX/CHENILTEX,MANTA TIPO COBERTOR,30.01,63.00,63014000
566,SAIA BABADO CASAL 1.38/1.88 LIT BLANC ALTENBURG,SAIA PARA COLCHAO,140.13,294.00,63022100
2399,JOGO DE CAMA SOLTEIRO 03 PÇS 200 FIOS SEM VIRA BASIC BUDDEME,JOGO DE CAMA,96.75,195.00,63022100
2,APARELHO DE JANTAR 20PCS DE PORCELANA LYOR,DIVERSOS,59.96,354.00,69111010
6241,CORTINA PRATIKA 3.00/1.70 TORONTO BELLA JANELA,CORTINA,144.31,318.00,63039200
325,TOALHA MESA 1.80/3.10 ACETINADO RAFIMEX/ROYAL SUITE,TOALHA DE MESA,134.21,255.00,63025300
6066,AROMATIZANTES DE AMBIENTE SPRAY  120 ML ESPUMARIA,DIVERSOS,22.90,48.00,33074900
7,COBERTOR BLANKET COURCHEVEL QUEEN KACYUMARA,COBERTOR,147.90,324.00,63014000
6242,TAPETE LUXOR DECOR 0.45/0.60 HEDRONS,TAPETE,7.68,24.00,57039000
2487,BODY REGATA/MC PETUTINHA,CONFECCOES,12.69,18.00,61112000
3988,CORTINA OXFORD 2.00/2.30 V.DE 2 MTS BELLA JANELA,CORTINA,37.28,72.00,63039200
4368,CAPA DE ALMOFADA 45X45 PELES/JAQUAR HEDRONS/ADOMES,CAPA,4.95,27.00,63049300
5525,TOALHA BANHO PONTO CRUZ 0.70/1.40 ALINE KARSTEN,TOALHAS AVULSA,19.80,42.00,63026000
1062,BOLSAS BEBE NECESSERIE SONHART,BOLSA,99.90,219.00,62171000
5970,CONJ.MASC.POLO E BERMUDA JEANS C90290 CATIVA,CONFECCOES,55.99,111.00,62032200
5976,CAPA DE ALMOFADA VELUDO LUXOR 0.50/0.50 DOMMUN,DIVERSOS,32.80,69.00,94049000
2966,TOALHA MESA 2.00/2.00 REDONDA JACQUARD HOME CLASS XANFER,TOALHA DE MESA,70.08,138.00,63025100
1313,BOLSAS TIPO MALA PARA VIAGEM TAM G SONHART,BOLSA,114.31,419.00,62171000
978,TAPETE PREMIUM 1.00/1.50 PROMOCIONAL SAO CARLOS/PINHEIRO,TAPETE,140.28,289.00,57033000
982,EDREDON KING 180 FIOS TOTAL MIX ARTEX,EDREDON,147.23,318.00,94049000
214,JOGO DE LENCOL 03 PÇS MINI-CAMA 100% ALGODAO TEXNEW,JOGO DE BERÇO,56.42,184.00,63023100
6303,CORTINA DUPLEX CASUAL 5.40/2.70 V.3 MT VOIL FORRO BELLA JANE,CORTINA,137.04,297.00,63039200
2900,TAPETE SAO CARLOS BALI/ MALIBU1.00/1.50,TAPETE,81.73,198.00,57029200
388,PROTETOR COLCHAO SOLTEIRO APOLO IMPERMEAVEL LAVIVE,PROTETOR DE COLCHAO,44.95,99.00,63023200
1843,CAMINHO DE MESA FILÉ 04 QUADROS GLORIA,CAMINHO DE MESA,27.00,63.00,63080000
5513,CORTINA SHINE  4.50/2.60 VARAO DE 3 MTS TAPECOL,CORTINA,288.00,576.00,63039900
4189,PERFUME FERRARI BLACK SCUDERIA FERRARI 75ML,PERFUME MASCULINO,87.31,189.00,33030020
6215,TOALHA BABY 0.80/0.80 DUPLA FACE 100 % ALGODAO ARTEX,TOALHA,19.86,48.00,94049000
6264,MANTA CASAL MICROFIBRA JACQUARD ATENAS/UNIQUE KSATEX,MANTA TIPO COBERTOR,40.41,135.00,63014000
6253,TOALHA BANHO 0.80/1.60 LYON/MEDELLIN CAVIQUIOLI,TOALHAS AVULSA,0.00,45.00,63026000
953,JOGO DE CAMA CASAL 04 PCS MICROFIBRA BASIC ANDREZA,JOGO DE CAMA,29.15,78.00,63022900
3987,PERFUME 212 SEXY FEMME CAROLINA HERRERA 100ML,PERFUME FEMININO,395.85,790.00,33030020
5593,PERFUME JEAN PAUL LE MALE ULTRA HOMME 75ML,PERFUME FEMININO,212.70,429.00,33030020
4537,CAMINHO DE MESA RENDA 0.33/1.37 PRATIK JOLITEX,CAMINHO DE MESA,7.22,16.90,63025300
5618,CUECA SAMBA CANÇAO MALWEE,CONFECCOES,17.56,36.00,61071100
1913,PEL PORCO BBL 1348 M LAGARTA TDB702806 FOFF,DIVERSOS,25.06,60.00,95030031
1637,KIT BERÇO AM 09 PCS PEDACINHO DO CEU/COROA BABY PAULINHA BAB,KIT BERÇO,274.00,519.00,63023100
5491,TAPETE ANDREZA PARIS 2.00/2.50,TAPETE,354.61,828.00,57033000
2558,BABADOR IMPERMEAVEL M 6-7 PACT C/03 UNIDADES COLIBRI,BABADOR,8.41,16.50,\N
4081,PERFUME GUCCI BLOOM  TOILETTE FEMME 100 ML,PERFUME FEMININO,340.90,682.00,33030020
1651,PEL BONECA CHAPEU PP CASC,PELUCIA,04.02,7.50,95030022
966,JOGO DE CAMA CASAL 04 PCS 180 FIOS ESTAMPADO ANDREZA,JOGO DE CAMA,91.48,204.00,63022100
1645,CREDITO CLIENTE,BABADOR,0.00,500.00,62092000
1711,MANTA BEBE OU TROCADOR  MALHA SONHART,MANTA PARA BEBE,41.32,150.00,61119090
3969,PERFUME ONE MILLION TRADICIONAL 100ML,PERFUME MASCULINO,367.50,729.00,33030020
6364,EDREDON QUEEN 2.40/2.60 VISION 270 FIOS BUDDEMEYER,EDREDON,300.28,599.00,94049000
6285,TRAVESSEIRO TOQUE DE PLUMAS EXTRA FIRME 250 FIOS NIAZITEX,TRAVESSEIROS,39.34,189.00,94049000
6347,ALMOFADA 0.55/0.55 JACQUARD KACYUMARA,CAPA,56.34,123.00,63023200
6299,SAIA BOX QUEEN ACOCHOADA MARKEN FASSI,SAIA PARA COLCHAO,100.94,396.00,63023100
1349,JOGO DE CAMA QUEEN 04 PÇS CETIM 270 B.V. PALACE C/RENDA BUDD,JOGO DE CAMA,211.51,465.00,63023100
1920,COBRE LEITO SOLTEIRO 02 PÇS MALHA PREMIER KIDS CAROL FURTADO,COBRE LEITO,115.95,228.00,94049000
793,COBERTOR SUPER KING JOLITEX RASCHEL PELO ESPECIAL,COBERTOR,145.79,330.00,63014000
2923,TRAVESSEIRO ROLINHO PLATINUM 100 % 200 FIOS MODAL SANTISTA,TRAVESSEIROS,25.33,48.00,94049000
1877,BODY MC E ML PCT C/ 03 UNIDADES PETUTINHA/SONEKINHA,CONFECCÃO PARA BEBE,4.59,27.00,61112000
544,PIJAMA INFANTIL MASC.MOLETON CALCA MANGA LONGA/MACACAO  SONH,PIJAMAS,53.38,99.00,\N
5625,PERFUME LA VIE EST BELLE EN ROSE 100 ML,PERFUME FEMININO,275.38,609.00,33030020
6000,GARRAFA TERMICA DE AÇO INOX EXPLORER 650 ML LYOR,DIVERSOS,37.86,90.00,96170010
5941,COBRE LEITO SUPER KING 03PÇS COPPELIA LUXUS BUDDEMEYER,COBRE LEITO,758.72,1689.00,94044000
3305,JOGO DE BERCO 03 PÇS MALHA/TECIDO ESTAMPADA LEPPER KIDS,JOGO DE BERÇO,36.38,81.00,63021000
5707,PIJAMA MASC.MANGA LONGA ABERTO C/CALÇA MALWEE,CONFECCOES,53.05,198.00,61072100
6059,COBRE LEITO SOLTEIRO 02 PÇS TACTO VERO/BELLO/DIAMANT ACETINA,COBRE LEITO,131.98,273.00,63023900
3562,TAPETE SAO CARLOS ORIGINS 1.00/1.50,TAPETE,148.60,288.00,57033000
6259,TAPETE PLATINUM 2.00/3.00 BUCHARA,TAPETE,1027.74,1938.00,57024200
6254,TOALHA ROSTO 0.50/0.80 LYON CAVIQUIOLI,TOALHAS AVULSA,7.66,18.00,63026000
1056,EDREDON KING BLEND ELEGANCE ALTENBURG,EDREDON,289.98,768.00,94049000
5715,ROUPAO FEM.ADULTO M/L COM TRANSPASSE SONHART,PIJAMAS,175.90,349.00,61089900
5581,PERFUME 212 VIP BLACK MEN 100ML,PERFUME MASCULINO,367.50,729.00,33030020
5371,JOGO DE CAMA QUEEN 04 PÇS 300 FIOS BORD. CASHEM DHABI LISIAN,JOGO DE CAMA,486.34,996.00,63023100
4835,COBRE LEITO QUEEN 03 PÇS 400 FIOS BORD. DOLCE/MOZART MARKEN,COBRE LEITO,675.00,1488.00,63023100
1659,PEL GORILA/ DINOSS/HIPOPOT G/CROCOD G/GIRAFA M /ZEBRA M FOFF,PELUCIA,25.20,66.00,95030031
1652,PORTA CDS PEQUENO TIMES VARIADOS FOFFY/ANIMAIS E OUTROS,DIVERSOS,6.14,13.50,\N
6006,MANTA P/ ESTOFADO JACQUARD MARROCOS 1.70/1.40 ADOMES,MANTA,34.02,72.00,63014000
3990,PERFUME 212 SEXY MEN CAROLINA HERRERA 100ML,PERFUME MASCULINO,226.99,679.00,33030020
4687,KIT 212 VIP MEN 50 ML SG 75ML,PERFUME MASCULINO,191.40,425.00,33030020
1256,PEL FOCA C/ ROUPA/JACARE /SAPO/CORUJA/GIRAFA XF8757B-28-F FO,PELUCIA,18.86,42.00,95030031
3488,PEL OVELHA G /ELEFANTE EL45/HP60/GOLFINHO TDF 6012 FOFFY,PELUCIA,27.30,69.00,95030031
717,TOALHA C/CAPUZ  BORDADO/ESTAMPADO BABY BOUTON/JOVITEX BEBE,TOALHA,10.66,27.00,62092000
110,FRIGIDEIRA DE INDUÇAO EM ALUMINIO 24 CM WOLFF,DIVERSOS,40.01,90.00,76151000
5598,SAIA BABADO QUEEN 1.60X2.00+33CM BELLA HOUSE,SAIA PARA COLCHAO,18.00,60.00,63023900
5437,TOALHA BANHO PONTO CRUZ CAROLINA KARSTEN,TOALHAS AVULSA,13.84,28.50,63026000
6266,MANTA KING MICROFIBRA JACQUARD ATENAS/UNIQUE KSATEX,MANTA TIPO COBERTOR,61.24,186.00,63014000
6256,TAPETE BRUNELLO/MALBEC 1.50/2.00 BUCHARA,TAPETE,513.96,1185.00,57024200
49,TOALHA BANHO GIGANTE 1.00/1.50 COLLONA BUDDEMEYER,TOALHAS AVULSA,14.50,96.00,63026000
6263,MANTA SOLTEIRO MICROFIBRA JACQUARD KSATEX,MANTA TIPO COBERTOR,33.81,96.00,63014000
3278,RELOGIO DE MESA TIMES FOFFY,DIVERSOS,6.58,24.00,91052900
6262,CAPA ALMOFADA RENDA BORDADA 45X45 JOLITEX,ALMOFADA,11.17,39.00,63049300
1859,TAPETE NEW PREMIUM 1.00/1.40 FIBRA CURTA BUCHARA,TAPETE,76.24,210.00,57033000
5237,PEL ELEFANTE/TIGRE/LEOPARDO/URSOXT8829-50/OVELHA BBL1123L/ F,PELUCIA,53.74,147.00,95030031
4308,TRILHO MESA 0.47/1.60 JACQUARD DUPLA FACE HOME CLASS,CAMINHO DE MESA,28.47,57.00,63025990
4584,PROTETOR TRAVESSEIRO 0.50/.070 IMPERMEAVEL C/ZIPER HEDRONS,CAPAS,9.68,21.00,63049300
2357,JOGO DE CAMA KING 04 PÇS 400 F.BOR.ELEGANCE/CANNES MARKEN FA,JOGO DE CAMA,491.75,1128.00,63023100
6193,PEÇA METAL DECOR TORRE EIFFEL 38 CM NATALUZ,DIVERSOS,33.26,81.00,83062900
6261,FUNDO DE PRATO AMER. 01 PÇ POL. GOURMET DIAM. JOLITEX,DIVERSOS,7.59,17.00,46019900
6265,MANTA QUEEN MICROFIBRA JACQUARD ATENAS/UNIQUE KSATEX,MANTA TIPO COBERTOR,48.46,156.00,63014000
1983,COBRE LEITO SOLTEIRO 02 PÇS TRAPUNTADO ESTAMPADO BUDDEMEYER,COBRE LEITO,247.74,525.00,94049000
6257,TAPETE BRUNELLO/MALBEC/ZURICH 2.50/3.50 / 2.40/3.40 BUCHARA,TAPETE,1365.00,3450.00,57024200
1367,COBRE LEITO QUEEN PLISSE 05 PÇS DUPLA FACE LAVIVE,KIT,243.78,516.00,63041990
1415,"PEL BONECO DE NEVE C/ GORRO E CACHECOU 55,5 CM NIAZITEX",PELUCIA,33.45,87.00,95051000
6260,KIT COZINHA  02 PÇS LUVA + PEGADOR JOLITEX,JOGO DE COZINHA,7.41,24.00,63029300
3712,TOALHA BANHO 0.67/1.40 SOLARE TEKA,TOALHAS AVULSA,24.30,66.00,63026000
799,MANTA SOLTEIRO INFANTIL FLANNEL  ANDREZA,MANTA TIPO COBERTOR,28.70,75.00,63014000
6228,CONJ.MASC  SHORT 1 A 3 PULLA BULLA,CONFECCOES,25.19,57.00,62032300
5777,CONJ.BEBE FEM P M G GG ZIGZIGZAA,CONFECCOES,30.57,69.00,6112000
5192,PESEIRA QUEEN PLISSE 2.10/0.40 LAVIVE,COLCHA,57.38,129.00,63049300
5912,JOGO DE CAMA CASAL 04 PCS 200 FIOS DOBRA FEITA ARTEX,JOGO DE CAMA,129.32,315.00,63022100
4847,CAMINHO DE MESA 0.40/1.35 ACETINADO BORDADO MANOR HILL,CAMINHO DE MESA,22.46,51.00,63025300
5402,KIT MALA 3PÇS BOLSA G/P URSO PRINCIPE GADE BABY,BOLSAS,196.00,402.00,42022220
6267,CAPA PARA TRAVESSEIRO TECIDO BABADO LISO ADULTO VEET,CAPAS,27.25,63.00,63041990
545,CORTINA BLACKOUT REQUINTE 4.00/2.70VARAO 4 MTS ADOMES,CORTINA,231.00,486.00,63031200
6278,PESO DE PORTA JOLITEX,DIVERSOS,11.32,45.00,63079090
5057,CJ 4 ANEIS P/GUADANAPO DE AÇO CIRCLE DOURADO LYOR,DIVERSOS,199.30,45.00,73239300
4334,TAPETE LUNA 2.00/2.50 FIBRA LONGA BUCHARA,TAPETE,476.88,1296.00,57033000
6277,TAPETE CAPACHO WELCOME 0.40/0.60 BUCHARA,TAPETE,24.00,60.00,57050000
364,TAPETE LUGANO/NEVADA 0.50/0.80 BUCHARA,TAPETE,24.50,60.00,57050000
4561,TAPETE PELE BANGOR 0.60/1.20 NIAZITEX,TAPETE,56.60,145.00,57029200
4808,BLUSA AVULSA HAVE FUN 1 A 6 ANOS FEMININO/TRICK  NICK,PERFUME FEMININO,14.24,30.00,61061000
5336,CASAQUETO MATELASSE ZIGZAG CHEVRON HAVE FAN,CONFECCOES,32.90,69.00,61022000
6273,TAPETE SISAL BELGA 2.00/3.00 TAPECOURO,CONFECCOES,1368.00,3090.00,57039000
6222,TOALHA BANHO GIGANTE 0.80/1.50 OLIMPO BUDDEMEYER,CONFECCOES,40.90,87.00,61044200
5526,TOALHA PRAIA AVELUDADA COM FRANJA 0.90/1.80 FIO TINTO DOHLER,TOALHAS AVULSA,44.20,93.00,63041910
5508,CORTINA PRATIKA 2.50/3.00 FELICITA BELLA JANELA,CORTINA,70.02,177.00,63039200
4814,BULE P/ CHÁ DE PORCELANA PETIT POIS 550 ML WOLFF,DIVERSOS,57.37,139.00,69111090
5377,COBRE LEITO SUPER KING 03 PÇS 300 FIOS CASHEME/DHABI MARKEN,COBRE LEITO,952.00,1956.00,63023100
6157,TRAVESSEIRO ROLINHO EXTRA FIRME SANTISTA,TRAVESSEIROS,16.55,42.00,94049000
5427,TAPETE TORONTO 0.40/0.60 BUCHARA,TAPETE,18.42,42.00,42050000
5290,TOALHA SOCIAL PONTO CRUZ LISA ANGERTEX,TOALHAS AVULSA,0.58,4.20,63026000
4995,CORTINA JACQUARD BARRADO 3.00/2.50 ADOMES,CORTINA,166.90,336.00,63031200
6271,GARRAFA TERMICA COLUMBUS DAYHOME,DIVERSOS,89.90,225.00,69170010
3213,TAPETE RALPH 0.90/1.40 ROMA,TAPETE,170.47,324.00,57033000
5646,CAPA PARA ESTOFADO GG ESTAMPADA TAMANHO ESPECIAL,CAPA,85.00,195.00,60063200
6255,LENÇOL AVULSO SOLTEIRO KNG 200 FIOS VIDA BELA KACYUMARA,LENCOL AVULSO,44.48,128.00,63023100
6276,TAPETE VEGAS 2.00/2.50 FIO DE SEDA FIBRA CURTA BUCHARA,TAPETE,299.50,756.00,57033000
6248,TOALHA GIGANTE FIO DUPLA TORÇAO 0.86/1.50 NASSER KARSTEN,TOALHAS AVULSA,28.13,66.00,63026000
6249,TOALHA ROSTO FIO DULPA TORÇAO 0.48/0.80 NASSER KARSTEN,TOALHAS AVULSA,10.65,27.00,63026000
6275,TAPETE VEGAS 0.50/1.00 FIO DE SEDA  FIBRA CURTA BUCHARA,TAPETE,29.95,75.00,57033000
157,JOGO DE TOALHA 05 PCS AURORA/HELENA/YUNA/VERIDIAN KARSTE,JOGO DE TOALHAS,66.16,150.00,63026000
2726,ALMOFADA 0.30/0.60 CAIOBA/PANAMA HEDRONS,ALMOFADA,15.87,36.00,94049000
4362,TOALHA C/ CAPUZ BEBE LION BABY CASA IN KARSTEN,TOALHAS AVULSA,13.63,27.00,63026000
5839,ROLO DECORATIVO 1.00MT VEET,DIVERSOS,55.60,115.00,95030031
5541,TAPETE SAO CARLOS SHOW 0.66/1.20,TAPETE,107.60,237.00,57033000
6112,ALMOFADA AMAMENTAÇAO BABADINHO/IMPERIAL PAULINHA BABY,TRAVESSEIRO PARA BEBE,45.19,150.00,94049000
761,TAPETE ORIENTAL PARADISO 0.50/0.80 JOLITEX,TAPETE,10.36,21.00,\N
3534,TAPETE TRANÇADO XADREZ 1.50/1.50 ARTESANATO MINEIRO,TAPETE,42.33,84.00,58050090
6226,CONJ.MASC BEBE M/G PULLA BULLA,CONFECCOES,23.80,54.00,61112000
4312,TOALHA MESA 1.60/2.50 LIMPA FACIL XANFER,TOALHA DE MESA,36.58,72.00,63025990
5937,"MINI TRAVESSA VIDRO CORAÇÃO/BALLS METALIZADO 13,5X12X5 LYOR",DIVERSOS,5.30,12.90,70134900
5040,MANTA BEBE MALHA ESTAMPADA MATELADA 0.76/0.76 LEPPER,MANTA PARA BEBE,25.15,51.00,63011300
1992,JOGO DE CAMA CASAL 04 PÇS 200 BASIC NIAZITEX,JOGO DE CAMA,99.03,228.00,63023100
5899,CORTINA P/ COZINHA 2.00/1.20 CUCINE BELCHIOR,CORTINA,44.00,93.00,63039200
5832,SAIA PROBOX CASAL PASTILHA 1.38/1.88 35 CM ALTURA LAVIVE,SAIA PARA COLCHAO,73.62,156.00,63041990
4335,TAPETE LUNA 2.00/3.00 FIBRA LONGA BUCHARA,TAPETE,700.12,1554.00,57033000
5153,KIT BERÇO AM CM 08 PÇS 400 FIOS VARAL CRISTAL/CHANTILLY BABY,KIT BERÇO,580.80,1155.00,62092000
4924,TROCADOR DE FRALDAS 0.53/0.53 LEPPER,FRALDAS,16.07,31.50,94049000
4025,FORRO DE BANDEJA 0.30/0.45 RENDADO FLORAL JOLITEX,CAMINHO DE MESA,14.02,33.00,63025300
4481,JOGO DE CAMA SOLTEIRO KING 03 PÇS MALHA IN COTTON ALTENBURG,JOGO DE CAMA,82.15,168.00,63021000
5145,ROUPAO BEBE PP 1 A 3 ANO BORDADO C/CAPUZ COLEÇAO MINI LEPPER,ROUPAO,38.12,69.00,62092000
5,POTICHE PEQUENO C/ PÉ DE CRISTAL LYOR,DIVERSOS,54.65,27.00,70139110
4253,TRAVESSEIRO INFANTIL HEALTHKIDS 0.40/0.60 TRISOFT,TRAVESSEIROS,10.34,19.50,94049000
764,TOALHA BANHAO 0.86/1.50 DILAN KARSTEN,TOALHAS AVULSA,40.29,96.00,63026000
6280,TOALHA BANHAO JACQUARD CONFORT 0.90/1.50 DOHLER,TOALHAS AVULSA,37.74,75.00,63026000
3542,TAPETE SAO CARLOS GALANT 2.00/3.00,TAPETE,803.05,1950.00,57024200
3246,CONJUNTO ADULTO FEMININO CAMISETE ML CALÇA 100 % ALG.SONHART,PIJAMAS,145.90,289.00,\N
1088,PIJAMA INFANTIL SOFT MASC.FEM.CALCA MANGA LONGA SONHART,PIJAMAS,68.00,130.50,\N
